HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DRB3,00.00,DRB3:00.00,0.00850399441658908,0.462558567377324,0.25-0.836,0.0113906330015123,-0.734493017855327,0.290258289173787,205,0.84,239,0.919,39,21,297,191,360,160,0.609,0.692,0.880952380952381,504
C,01.02,C:01.02,0.134455494634279,0.742451038119014,0.504-1.09,0.0182157691682308,-0.467950709434968,0.198183197886852,77,0.318,100,0.386,165,159,85,399,107,411,0.176,0.207,0.353293413173653,501
DPB1,04.02,DPB1:04.02,0.0589263938698546,1.96673396149472,0.929-4.34,0.0195387406973746,0.87236798510819,0.373590797738533,23,0.0943,13,0.0502,221,246,25,463,13,505,0.0512,0.0251,0.0715705765407555,503
A,03.01,A:03.01,0.00708746797487435,0.158818852470543,0.0172-0.713,0.0272344800704678,-1.70561143700339,0.772419794730782,2,0.0083,13,0.0502,239,246,2,480,13,505,0.00415,0.0251,0.03,500
DRB3,02.02,DRB3:02.02,0.0194009583037755,1.56476604483018,1.07-2.3,0.0315537585780054,0.417266392049034,0.19407572982033,98,0.402,78,0.3,146,182,109,379,85,435,0.223,0.163,0.349206349206349,504
DRB4,01.03,DRB4:01.03,0.0401429374554634,0.686343751413594,0.475-0.989,0.0389982156631289,-0.378483964188304,0.183355738723124,116,0.475,148,0.569,128,112,132,356,178,342,0.27,0.342,0.523809523809524,504
DRB4,00.00,DRB4:00.00,0.0630042538128453,1.85644982312915,0.95-3.75,0.050274477303808,0.642346154402395,0.32812586667899,228,0.934,230,0.885,16,30,355,133,340,180,0.727,0.654,0.908730158730159,504
B,15.25,B:15.25,0.0554030914071638,4.38727864618438,0.863-42.8,0.0652958481154854,1.48560923616859,0.805982709348005,8,0.0351,2,0.0082,220,242,8,448,2,486,0.0175,0.0041,0.0211864406779661,472
B,46.01,B:46.01,0.473214589938996,0.853463326281543,0.558-1.3,0.0760859938647292,-0.399205359333862,0.225048723441947,60,0.263,72,0.295,168,172,63,393,77,411,0.138,0.158,0.279661016949153,472
DPB1,03.01,DPB1:03.01,0.0768351259113365,0.605865473493678,0.333-1.08,0.0819832028955051,-0.492350408886409,0.283074992190792,23,0.0943,38,0.147,221,221,24,464,41,477,0.0492,0.0792,0.121272365805169,503
DQB1,06.09,DQB1:06.09,0.162399725417502,2.45821085764393,0.675-11.1,0.0825190280566313,1.07695942193085,0.620277768015461,9,0.0372,4,0.0154,233,255,10,474,4,514,0.0207,0.00772,0.0259481037924152,501
C,03.03,C:03.03,0.085316450809201,0.613164098865293,0.344-1.07,0.0871599685103147,-0.473145902819956,0.276600826395544,25,0.103,41,0.158,217,218,28,456,44,474,0.0579,0.0849,0.131736526946108,501
A,31.01,A:31.01,0.059175478602651,0.491158481221114,0.219-1.04,0.0926799638650795,-0.634453376781541,0.377330266060761,12,0.0498,25,0.0965,229,234,12,470,25,493,0.0249,0.0483,0.074,500
DQA1,01.04,DQA1:01.04,0.0579042154637653,1.57826705296662,0.961-2.61,0.0987081419651127,0.40299132031451,0.244067195624073,49,0.202,36,0.138,193,224,53,431,39,481,0.11,0.075,0.169322709163347,502
DQA1,03.01,DQA1:03.01,0.105364478765431,0.624438078176804,0.347-1.11,0.107429902449179,-0.45340223644461,0.281641971693193,24,0.0992,39,0.15,218,221,24,460,40,480,0.0496,0.0769,0.125498007968128,502
hap,03.02_03.01_04.06,hap:03.02_03.01_04.06,0.140135313723233,0.433009843132424,0.118-1.35,0.12642753712074,-0.836510572489145,0.547331899444154,5,0.0205,12,0.0462,239,248,5,483,12,508,0.0102,0.0231,0.0337301587301587,504
A,02.03,A:02.03,0.164711214955092,1.88733870631816,0.797-4.71,0.127012377730558,0.634984534126243,0.41611319353158,17,0.0705,10,0.0386,224,249,17,465,10,508,0.0353,0.0193,0.054,500
DQB1,06.04,DQB1:06.04,0.0614638000754767,0.369860320774114,0.103-1.11,0.129034480901027,-0.843871144189692,0.555939017498694,5,0.0207,14,0.0541,237,245,6,478,14,504,0.0124,0.027,0.0379241516966068,501
DQB1,03.02,DQB1:03.02,0.114754574147559,0.640588169109033,0.362-1.12,0.129904481439672,-0.416268498992098,0.274859269488014,26,0.107,41,0.158,216,218,27,457,43,475,0.0558,0.083,0.13373253493014,501
A,11.01,A:11.01,0.0360187857408001,1.47282609161713,1.01-2.15,0.13021044035484,0.296452535088548,0.195901613087245,108,0.448,92,0.355,133,167,127,355,115,403,0.263,0.222,0.4,500
hap,06.09_01.02_13.02,hap:06.09_01.02_13.02,0.248666323034999,2.16627359169198,0.571-9.96,0.131441122408385,0.952280606445344,0.631300256380049,8,0.0328,4,0.0154,236,256,9,479,4,516,0.0184,0.00769,0.0238095238095238,504
hap,06.04_01.02_13.02,hap:06.04_01.02_13.02,0.0611396516702405,0.36826245809987,0.102-1.1,0.13242160586517,-0.836177102742789,0.555739442813868,5,0.0205,14,0.0538,239,246,6,482,14,506,0.0123,0.0269,0.0376984126984127,504
