HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DRB3,00.00,DRB3:00.00,0.00584294322175507,0.466900959607847,0.262-0.816,0.00635556128580306,-0.754004021874202,0.276308346633476,200,0.82,234,0.907,44,24,289,199,346,170,0.592,0.671,0.864541832669323,502
C,01.02,C:01.02,0.0920940041377195,0.721024722615065,0.49-1.06,0.0126308454091919,-0.493781420979399,0.197986826467867,77,0.32,101,0.395,164,155,85,397,108,404,0.176,0.211,0.358148893360161,497
DRB4,01.03,DRB4:01.03,0.0123954690850505,0.634379670953749,0.439-0.915,0.0131656323837294,-0.455951914491047,0.183906659867641,116,0.475,153,0.588,128,107,131,357,183,337,0.268,0.352,0.533730158730159,504
B,46.01,B:46.01,0.18208683441029,0.744525176081544,0.486-1.14,0.0221932937036637,-0.509285052368977,0.222682729337644,60,0.261,74,0.322,170,156,63,397,79,381,0.137,0.172,0.291304347826087,460
DPB1,04.02,DPB1:04.02,0.0810389652779519,1.89263148914437,0.887-4.2,0.0264103944611742,0.837100628818853,0.377051402406357,22,0.0921,13,0.0508,217,243,24,454,13,499,0.0502,0.0254,0.0707070707070707,495
DRB4,00.00,DRB4:00.00,0.0630042538128453,1.85644982312915,0.95-3.75,0.0502744773038079,0.642346154402395,0.32812586667899,228,0.934,230,0.885,16,30,355,133,336,184,0.727,0.646,0.908730158730159,504
C,03.03,C:03.03,0.0470110159035929,0.580604092502134,0.324-1.02,0.0586967430873193,-0.526478080670761,0.278492356025166,24,0.0996,41,0.16,217,215,27,455,44,468,0.056,0.0859,0.130784708249497,497
DRB3,02.02,DRB3:02.02,0.042957841571225,1.45985234800761,1-2.13,0.061989011720824,0.357811007198258,0.191714492155059,103,0.422,86,0.333,141,172,117,371,95,421,0.24,0.184,0.376494023904383,502
DPB1,03.01,DPB1:03.01,0.114394769596811,0.584867711466935,0.287-1.15,0.0653750381673175,-0.611185314539913,0.331681956686454,16,0.0669,28,0.109,223,228,17,461,30,482,0.0356,0.0586,0.0888888888888889,495
A,03.01,A:03.01,0.0340329075975194,0.259151900207452,0.0463-0.977,0.072152689967972,-1.19113002893671,0.662418444951453,3,0.0126,12,0.0471,235,243,3,473,12,498,0.0063,0.0235,0.0304259634888438,493
DQA1,03.03,DQA1:03.03,0.0884782531924983,0.628812875144166,0.356-1.1,0.0916124175964883,-0.46717508701172,0.276934287534858,26,0.108,41,0.162,214,212,27,453,42,464,0.0562,0.083,0.135902636916836,493
DQA1,01.04,DQA1:01.04,0.055840564110383,1.59635983943193,0.968-2.65,0.0917703816553698,0.414959041443304,0.246101163189003,49,0.204,35,0.138,191,218,53,427,38,468,0.11,0.0751,0.170385395537525,493
DRB1,04.05,DRB1:04.05,0.104423324402971,0.621853820396392,0.345-1.1,0.105175692586557,-0.457498561540075,0.282360597655072,24,0.103,39,0.155,210,212,26,442,40,462,0.0556,0.0797,0.129896907216495,485
