sample.id,A.1,A.2,A.prob,matching
HG00403,02:01,31:01,0.811188563077031,8.14621353429529e-05
HG00404,11:01,24:02,0.929297020594822,0.000253728555611621
HG00406,11:01,11:01,0.999867234555527,5.55885985412206e-05
HG00407,02:01,02:07,0.838156281260911,0.00011870770778997
HG00409,02:07,24:02,0.960245929089004,0.000378744831438154
HG00410,02:01,24:02,0.759263971862068,0.00197845280013004
HG00419,02:06,24:02,0.889407262475853,0.000122443870098507
HG00421,02:07,30:01,0.997505283113455,0.000417439739966623
HG00422,11:01,11:01,0.967947399007262,3.60930457224588e-05
HG00428,24:02,30:01,0.957584279943362,0.000141349827647314
HG00436,24:02,24:02,0.943118653981402,2.55795875407354e-05
HG00437,02:06,02:07,0.41841794304529,8.56208626462765e-07
HG00442,11:01,11:01,0.999999799734517,2.33023386661473e-05
HG00443,02:07,11:02,0.606830999630113,0.000102923495377447
HG00445,24:02,24:02,0.944677232812902,0.000119954934638214
HG00446,11:01,11:01,0.624614015629125,1.18968519590505e-06
HG00448,02:07,11:01,0.994346651442495,3.54938955235708e-05
HG00449,02:07,11:01,0.987395941683948,5.73414122303301e-05
HG00451,11:01,11:01,0.997654713861774,4.66709384227861e-06
HG00452,11:01,11:01,0.631109680531351,4.48488615882408e-05
HG00457,02:07,11:01,0.875400247191796,5.8550149686431e-05
HG00458,02:07,11:01,0.995142826900548,0.000151163783803527
HG00463,02:07,11:01,0.955000733676763,4.01210301116714e-05
HG00464,02:06,11:01,0.945220615626616,2.9728730406266e-05
HG00472,01:01,24:02,0.945741471601745,0.000720994322902827
HG00473,02:07,33:03,0.892850537763314,0.000217829375017263
HG00475,11:01,33:03,0.989377165553604,0.000214275912929507
HG00476,11:01,24:02,0.886764564606375,0.000169091833536288
HG00478,11:01,24:02,0.902323869802703,1.99544676470901e-06
HG00479,02:07,24:02,0.939127339742284,0.000226879139681411
HG00500,11:01,11:01,0.998148674516233,1.28187168752819e-05
HG00513,02:01,02:03,0.560236265676833,0.000134496384900458
HG00524,02:06,02:07,0.896726465024745,9.21200862484502e-05
HG00525,03:01,11:01,0.969591192673402,3.01697012028443e-05
HG00530,11:01,11:01,0.601710422753062,2.7981231197144e-05
HG00531,02:07,24:02,0.589558866055771,4.61968228134312e-05
HG00533,02:07,31:01,0.997425923409008,0.000122835790092405
HG00534,02:07,11:01,0.987966609664874,7.13432189712776e-05
HG00536,02:07,33:03,0.957328336146639,4.49357187298745e-05
HG00537,02:07,11:02,0.568580652900164,3.45926224102214e-05
HG00542,11:01,33:03,0.99902852565489,8.63351729644314e-05
HG00543,02:07,26:01,0.954585506196121,3.72724571197969e-05
HG00556,02:01,02:01,0.655127078315096,0.00055804799066661
HG00557,01:01,02:07,0.956949154852118,0.000301274352671731
HG00559,24:02,33:03,0.940072262460199,0.00131717611885622
HG00560,02:01,24:02,0.687631356784813,0.000119415970992146
HG00565,02:01,33:03,0.825322987056332,0.00021911262792137
HG00566,02:07,24:02,0.878101090057865,5.91508019784949e-05
HG00580,03:01,30:01,0.98033794975649,0.000560255491737108
HG00581,02:01,33:03,0.903758051548085,0.000845249561427048
HG00583,03:01,24:02,0.934904525099708,0.000816763175753065
HG00584,11:01,24:02,0.735315690370558,7.01571844588141e-05
HG00589,02:01,02:01,0.820204333457224,0.000682109067959082
HG00590,02:06,11:01,0.998817096215835,1.00596005014321e-05
HG00592,02:06,26:01,0.952781321883106,2.84405570725987e-05
HG00593,24:02,24:02,0.842727635059496,4.52814206078336e-06
HG00595,02:01,11:01,0.865998723022793,8.15005643014718e-05
HG00596,11:01,24:02,0.993373966398473,7.93728005090848e-05
HG00598,02:01,11:01,0.831827374085977,7.21223099986547e-05
HG00599,11:01,11:01,0.997309910777197,2.30855868503408e-05
HG00607,26:01,33:03,0.929240372309457,0.000130572598898085
HG00608,11:02,24:02,0.579846640244448,0.000107201188389351
HG00610,02:06,02:06,0.856658877225355,2.7388908579273e-05
HG00611,02:07,02:07,0.995129889682182,7.93213217959871e-05
HG00613,02:03,24:02,0.551583275622576,6.72893726038117e-05
HG00614,02:01,11:01,0.889069082633542,0.000184953255159672
HG00619,02:01,02:11,0.327262527730633,3.56935966970925e-07
HG00620,11:01,24:02,0.950694792498447,3.16551321399939e-06
HG00622,24:02,33:03,0.929387848184256,0.00120471819438066
HG00623,11:01,11:01,0.993965187634299,2.18565677010008e-05
HG00625,11:01,11:02,0.472406404330416,3.80410228601477e-05
HG00626,02:07,11:01,0.579888751367937,1.84023743775649e-05
HG00628,02:01,24:02,0.84477759875234,9.32371173212019e-06
HG00629,11:01,11:01,0.996760985326034,1.02453403167836e-05
