sample.id,C.1,C.2,C.prob,matching
HG00403,03:03,03:04,0.974389328701442,8.18536260206304e-05
HG00404,03:03,03:03,0.876409546865812,5.09238248971249e-05
HG00406,07:02,08:01,0.999999976803532,0.000600887844592417
HG00407,03:03,07:02,0.684610847548262,2.58651415878293e-05
HG00409,01:02,04:82,0.647881839925368,7.01851447930639e-05
HG00410,07:02,07:02,0.999999999999973,1.6552703971501e-05
HG00419,03:04,03:04,0.706146355305524,1.61532313198326e-05
HG00421,01:02,06:02,0.901934347943671,0.000370959145512268
HG00422,03:04,04:01,0.981601134983122,6.27689157822632e-05
HG00428,01:02,06:02,0.852826105930639,0.000412375701731803
HG00436,01:02,08:01,0.716800856448038,4.12033642537796e-05
HG00437,07:02,14:02,0.999999989984957,4.25838235127758e-05
HG00442,07:02,07:02,0.999999971397846,2.22548590483991e-05
HG00443,03:03,15:02,0.683687603026956,1.59249040267139e-06
HG00445,07:02,07:02,0.999999999909329,0.000280723041726626
HG00446,03:04,03:04,0.780311493068667,2.50727396690274e-05
HG00448,01:02,01:02,0.893745798781395,9.7367656982839e-05
HG00449,01:02,07:02,0.90407878513114,5.51446714086151e-05
HG00451,03:03,03:04,0.842144810674596,6.86520695204578e-06
HG00452,03:04,12:03,0.613100268834393,1.61884958906774e-05
HG00457,01:02,07:02,0.846698087389529,2.14360119773203e-06
HG00458,01:02,04:01,0.911172403997816,0.000682806806890801
HG00463,01:02,08:01,0.911500004267278,0.000362695844407372
HG00464,04:01,07:02,0.55411381077995,9.11466552909032e-18
HG00472,03:03,06:02,0.938403414196501,6.44284040579606e-05
HG00473,01:02,03:02,0.911938831951623,0.000334145889752883
HG00475,03:02,03:04,0.99956555839824,0.000159777848357899
HG00476,03:04,04:82,0.507268629465451,7.61776859452111e-06
HG00478,07:02,07:02,0.999999948092819,1.66810737751026e-05
HG00479,01:02,01:02,0.872902620745768,0.000172458017683606
HG00500,01:02,07:02,0.857923249877103,8.79809289061272e-05
HG00513,03:04,04:03,0.185450118531875,4.75545002616048e-12
HG00524,01:02,08:01,0.844563473151444,0.000190296383258264
HG00525,03:03,07:02,0.998672536175197,2.74231252010896e-05
HG00530,07:02,07:02,0.999999999528194,1.783569826648e-05
HG00531,01:02,03:03,0.902520092875213,4.61603752898964e-05
HG00533,07:02,08:01,0.777333162807524,5.67022578792733e-06
HG00534,01:02,06:02,0.90171388510152,0.000281031258969835
HG00536,01:02,08:01,0.911500004267278,0.000362695844407372
HG00537,01:02,01:02,0.875765779390568,3.18123539469972e-05
HG00542,01:02,03:02,0.919609723007315,0.000307331192190497
HG00543,01:02,03:03,0.888906731566889,0.000263563781194035
HG00556,03:04,07:02,0.988614734645011,1.8881823658604e-05
HG00557,06:02,12:02,0.955734919167796,5.85639367539086e-07
HG00559,01:02,03:02,0.997432642309417,8.33632630293865e-05
HG00560,07:02,08:01,0.999948988336688,8.76597951248099e-05
HG00565,03:04,07:02,0.982974598349157,1.3924805623613e-06
HG00566,01:02,03:02,0.912074567477281,0.000359113396650435
HG00580,04:01,06:02,0.993126200617438,0.000220452668697189
HG00581,03:03,07:02,0.872576821912785,2.44281493655033e-05
HG00583,01:02,03:04,0.99728386763819,5.05428907731878e-05
HG00584,03:04,07:02,0.902649371493941,1.79995281273443e-05
HG00589,03:04,14:02,0.887249791754034,1.5532422768762e-06
HG00590,03:03,04:03,0.983324153273799,1.60134818186095e-05
HG00592,07:02,14:02,0.990244867650297,3.8899746378364e-05
HG00593,03:04,12:02,0.639612063023453,1.43843158566647e-08
HG00595,07:02,08:01,0.99907004858466,3.46763206423666e-05
HG00596,03:04,04:01,0.314840206628784,5.48055266005566e-13
HG00598,07:02,15:02,0.993407087228045,1.62564936862e-05
HG00599,04:01,08:01,0.871284298048238,3.652047665644e-05
HG00607,03:02,03:04,0.841214194926965,3.56520628304706e-05
HG00608,07:02,15:02,0.95375064176324,1.85395665165063e-05
HG00610,08:01,14:02,0.884796321288039,3.94451928749126e-05
HG00611,01:02,01:02,0.787059031330122,0.000227245487957406
HG00613,01:02,03:04,0.922639168872153,8.88326247665023e-05
HG00614,01:02,03:04,0.997302073311906,7.39944276878162e-05
HG00619,03:03,07:02,0.399290537905834,1.45730633839847e-11
HG00620,08:01,15:02,0.921081258713928,9.07200545468787e-06
HG00622,03:02,03:04,0.994472315316774,0.000142545513688455
HG00623,07:02,07:02,0.99999999999988,3.48672576261621e-05
HG00625,04:01,15:02,0.918761694859432,5.89437223876122e-05
HG00626,04:01,07:02,0.990684350475367,8.52641316703274e-05
HG00628,03:04,07:02,0.999999998646236,2.27434811685842e-05
HG00629,03:03,07:02,0.984415217571555,3.26262110990825e-05
HG00631,03:02,07:02,0.999898231254763,3.02430752388446e-05
HG00632,07:02,07:02,0.999999996750497,3.46327110184538e-05
HG00634,07:02,07:02,0.99999999999979,2.00405550727717e-05
HG00650,01:02,03:02,0.911534408961762,0.000209457578282953
HG00651,01:02,03:04,0.900999400420977,0.000205353197552405
HG00653,03:02,15:02,0.99276245509078,3.01413170861504e-06
HG00654,03:04,07:02,0.90154588309711,1.00210984837736e-05
HG00656,01:02,07:02,0.909800536967311,5.63866477135578e-06
HG00657,01:02,14:02,0.876796286937766,1.14967020682761e-05
HG00662,03:03,03:04,0.831199374198012,6.02452318817463e-05
HG00663,12:03,14:02,0.880399788527942,9.53237754601406e-08
HG00671,08:01,08:01,0.628033153081788,3.92620786277465e-05
HG00672,07:02,15:02,0.999999737928692,1.79693131922416e-06
HG00674,01:02,07:02,0.891924884831494,5.57049577960348e-06
HG00675,03:02,03:04,0.999241102635149,0.000107374452816717
HG00683,01:02,07:02,0.819413844715237,5.00932278456139e-06
HG00684,03:04,03:04,0.999999999999364,4.51873132623007e-05
HG00689,03:03,08:01,0.616316108956735,3.207538065406e-07
HG00690,03:04,07:02,0.780342433383059,2.13407203841669e-05
HG00692,01:02,07:02,0.903322030169453,2.64105433380133e-05
HG00693,03:04,07:02,0.999999984456503,3.31005031981452e-05
HG00698,03:02,07:02,0.994615086063815,4.4562281206335e-05
HG00699,03:02,07:02,0.996416830528603,6.07585375257588e-06
HG00701,01:02,08:01,0.911500004267278,0.000362695844407372
HG00704,03:04,07:02,0.999999999790143,3.78894594894735e-05
HG00705,01:02,08:01,0.864846682877195,6.25230649465345e-07
HG00707,01:02,07:02,0.906119714343397,0.000109239653960147
HG00708,01:02,06:02,0.90171388510152,0.000298583852316247
HG00717,07:02,15:05,0.96987572974796,9.41967127132885e-06
HG00728,07:02,14:02,0.999999178726609,6.29591974704822e-05
HG00729,01:02,07:02,0.999999990089027,6.40965483718945e-05
HG00759,03:04,04:03,0.790173211171098,9.0823985885912e-08
HG00766,01:02,03:04,0.748955354686371,2.46150208912946e-05
HG00844,03:04,12:03,0.566876416606786,1.87240638316222e-07
HG00851,01:02,07:02,0.846016334472219,1.18624087241225e-05
HG00864,01:02,07:02,0.907007962853348,3.11638997582833e-05
HG00867,04:01,08:01,0.954340217074015,3.96507536962822e-05
HG00879,01:02,08:01,0.902788296921943,0.000176753730600597
HG00881,01:02,01:02,0.826149936357785,0.000263645031172616
HG00956,01:02,14:02,0.878275258020694,1.13574690890818e-05
HG00978,01:02,01:02,0.809356743826502,0.000217927686881476
HG00982,01:02,07:02,0.901935361578517,9.87633557001084e-05
HG01028,03:02,07:02,0.999498539312324,8.15463751615564e-05
HG01029,04:03,07:02,0.289602317717536,4.11024271645394e-19
HG01031,03:04,07:02,0.997538262111142,6.08786563375272e-06
HG01046,01:02,03:04,0.895407824744175,9.68339173279675e-05
