sample.id,DPB1.1,DPB1.2,DPB1.prob,matching
HG00403,02:02,02:02,0.96766719903477,4.86715171269546e-05
HG00404,02:02,03:01,0.600977697249594,1.68139383810716e-06
HG00406,05:01,05:01,0.484322575775996,3.07367227856896e-05
HG00407,02:01,13:01,0.883932409749489,3.66980366644921e-05
HG00409,02:01,05:01,0.882984427060003,0.000634780906865031
HG00410,02:02,05:01,0.98437709361787,0.000557569310584425
HG00419,05:01,05:01,0.990905916706812,0.000895453227001192
HG00421,02:02,17:01,0.990688219668558,7.34619007999284e-05
HG00422,02:01,05:01,0.811713927752944,0.00034530410914469
HG00428,02:02,17:01,0.895900811688531,7.68354363507644e-05
HG00436,02:01,02:01,0.837089278591143,0.000299635449842994
HG00437,05:01,05:01,0.988053595853536,0.00315452476005541
HG00442,03:01,05:01,0.907973924394498,0.000648548575042613
HG00443,02:01,02:02,0.949989420271994,3.19503447835104e-05
HG00445,02:01,04:02,0.842053972483486,0.000292693311291253
HG00446,02:01,14:01,0.779239003526513,5.65621012720764e-05
HG00448,05:01,05:01,0.983903484339038,0.00210691744969736
HG00449,05:01,14:01,0.978180226732604,0.000174560817182535
HG00451,05:01,14:01,0.841327789563526,2.60413813991352e-06
HG00452,02:01,04:01,0.873355521767912,9.18454831455086e-05
HG00457,05:01,05:01,0.980451748147314,0.00199310204117135
HG00458,02:01,05:01,0.967996809493405,0.00290899767091171
HG00463,05:01,21:01,0.787034355081189,0.000140201791554661
HG00464,03:01,05:01,0.917239609979125,0.000698301979234397
HG00472,02:02,05:01,0.983879352109626,0.0008222055918279
HG00473,04:01,13:01,0.962194348660604,4.29979518838426e-06
HG00475,02:02,13:01,0.971745367215305,3.17352168368376e-05
HG00476,02:01,05:01,0.908480643790543,0.00251664296586568
HG00478,05:01,05:01,0.990318356656635,0.00118358506399574
HG00479,02:01,05:01,0.965706272809715,0.000138421544686901
HG00500,13:01,19:01,0.990174465199548,2.90148681790223e-06
HG00513,05:01,14:01,0.949840301589403,9.64331564563005e-05
HG00524,02:01,02:02,0.897877747034658,0.000239379980055174
HG00525,03:01,04:01,0.982216730376223,5.6776773908151e-05
HG00530,02:02,13:01,0.826547030672296,1.33000199990083e-06
HG00531,02:01,14:01,0.967375048900804,1.37646137093513e-05
HG00533,05:01,05:01,0.991794874485575,7.1152192463418e-05
HG00534,09:01,13:01,0.835358162380233,2.88371309613783e-05
HG00536,05:01,21:01,0.845680031910137,0.000177275444592338
HG00537,02:01,13:01,0.804459915327236,4.64254455108263e-06
HG00542,13:01,14:01,0.955376738410112,4.63934193921791e-06
HG00543,02:01,13:01,0.964329905737364,3.79688725250434e-06
HG00556,05:01,05:01,0.971238244842742,0.00144346749149106
HG00557,02:01,05:01,0.97038711517376,0.000135554124932328
HG00559,04:01,05:01,0.952518989662876,0.00179005353924259
HG00560,02:01,05:01,0.950492338848821,0.000161106902657197
HG00565,05:01,05:01,0.992715604631791,0.00369963743338055
HG00566,04:01,05:01,0.981792306215759,0.000486028008155889
HG00580,05:01,05:01,0.994175460301456,0.00216812527754447
HG00581,02:01,02:01,0.899457347852269,0.000123054949042484
HG00583,02:01,02:02,0.843762974464621,0.000143096873270634
HG00584,05:01,05:01,0.981306854810454,0.00200309451636153
HG00589,02:01,05:01,0.910175342518682,0.000104089921455338
HG00590,02:01,02:01,0.890095336616636,3.28739047284258e-05
HG00592,02:01,17:01,0.996217657843084,2.07321653331664e-05
HG00593,03:01,19:01,0.907868200160701,2.51158874639669e-05
HG00595,02:01,05:01,0.971358204295727,0.00327377271723874
HG00596,02:01,05:01,0.962840148546272,0.00101817805856236
HG00598,02:01,05:01,0.977968695597368,0.00495632999878875
HG00599,02:01,05:01,0.981974171645916,0.00424457719709181
HG00607,02:01,02:01,0.91355032257274,2.99608765905302e-05
HG00608,05:01,13:01,0.94178258099267,3.81706604395953e-06
HG00610,02:02,04:02,0.831794913965919,3.97370231146989e-05
HG00611,05:01,05:01,0.99055038645076,8.32003045424633e-05
HG00613,05:01,14:01,0.913732432752498,3.85444231859312e-05
HG00614,05:01,05:01,0.978435773143761,0.00205779429589824
HG00619,03:01,05:01,0.959010368695111,1.92429614368754e-05
HG00620,04:02,05:01,0.995508680859121,0.000151215284084318
HG00622,02:01,02:01,0.925142863882323,0.000130341049865458
HG00623,02:02,02:02,0.565905738000025,1.76383328314219e-06
HG00625,02:01,02:02,0.933621888636132,0.000354247828552123
HG00626,03:01,05:01,0.655303947828051,3.98263045477465e-05
HG00628,02:02,03:01,0.696136296425499,4.65546866118768e-05
HG00629,02:01,05:01,0.469873520599075,5.85935415660286e-05
HG00631,05:01,05:01,0.99120701799016,0.000212169734182431
HG00632,05:01,05:01,0.989933504609066,0.00350444888371569
HG00634,03:01,13:01,0.898616979289049,3.16943925228178e-05
HG00650,02:02,05:01,0.960255959256606,0.000384838889446434
HG00651,02:02,13:01,0.508201752124419,5.40492448754399e-08
HG00653,02:02,13:01,0.973233588739763,2.01127816420416e-05
HG00654,03:01,03:01,0.614533798949253,2.97444263205792e-06
HG00656,05:01,05:01,0.989143162233426,0.00286933251644542
HG00657,02:02,02:02,0.905967366055586,3.30279199357821e-05
HG00662,02:01,02:02,0.587705628008815,4.15324401855302e-06
HG00663,02:01,05:01,0.973332436504143,0.00291757329633715
HG00671,05:01,21:01,0.831039233906376,0.00016733884784183
HG00672,02:01,13:01,0.960491135920382,0.00014672931341528
HG00674,02:01,05:01,0.919576381852334,0.000142744082295896
HG00675,05:01,05:01,0.983419305165081,0.00247640019326625
HG00683,02:01,03:01,0.460803458242138,1.8629082630856e-05
HG00684,02:01,05:01,0.960796884183128,0.000168110989588316
HG00689,03:01,05:01,0.980818655921869,4.88092342846203e-06
HG00690,05:01,05:01,0.974914278480872,0.00134821739134854
HG00692,02:01,05:01,0.987880258193904,0.000170295540051433
HG00693,13:01,13:01,0.952790158055716,4.75734391632126e-06
HG00698,03:01,04:01,0.735346475984282,8.1968609507878e-06
HG00699,04:01,21:01,0.595773463670341,5.82759265692934e-05
HG00701,03:01,13:01,0.926567535019246,2.95423087252231e-07
HG00704,02:02,13:01,0.730739317088276,5.42307440656049e-06
HG00705,05:01,10:01,0.51548933899367,3.28612020930808e-05
HG00707,05:01,05:01,0.99712049496331,7.43363357585723e-05
HG00708,05:01,05:01,0.995490529328347,0.000842830602708599
HG00717,05:01,19:01,0.979032431001242,6.02815042284087e-05
HG00728,02:01,05:01,0.977181928639585,0.00362170531503569
HG00729,02:01,05:01,0.985045360515942,0.000243367181540927
HG00759,02:01,02:02,0.897978427472874,1.87988183475559e-05
HG00766,02:01,05:01,0.973835588766365,0.000224911517973289
HG00844,02:02,05:01,0.94219225258578,0.000566656989504606
HG00851,01:01,05:01,0.746811903179767,4.3896500877112e-05
HG00864,02:02,04:02,0.961877410898697,0.000115823049354604
HG00867,02:01,13:01,0.961635864341513,0.00020974198038792
HG00879,02:01,04:01,0.843420281181874,0.000307330931527817
HG00881,05:01,05:01,0.992171303549785,0.000276904921536328
HG00956,02:02,05:01,0.9775955175732,0.000124851030200008
HG00978,05:01,05:01,0.973895058505936,0.00207273681627866
HG00982,05:01,05:01,0.989464232280434,0.000719389812017875
HG01028,05:01,05:01,0.985192607545657,0.00248229843584168
HG01029,02:02,04:01,0.985713427454995,0.000314336705387904
HG01031,05:01,05:01,0.994989347717695,7.81136955126528e-05
HG01046,05:01,13:01,0.977879951436515,0.000316924496886723
HG01595,05:01,13:01,0.975743102660537,0.000545658228710835
HG01596,02:02,05:01,0.571784338767771,2.36579366858905e-05
HG01597,02:02,296:01,0.706859913656638,4.87547876790698e-07
HG01598,02:01,05:01,0.939329835741971,0.000367612048821886
HG01599,05:01,296:01,0.783203807234971,5.94109598700026e-06
HG01600,05:01,05:01,0.990433558059322,0.00291831582581168
HG01794,05:01,17:01,0.990422564005419,0.00110795881774723
HG01795,02:01,04:01,0.893623414762756,0.000416138792532873
HG01796,02:02,03:01,0.646443636288452,8.47429013150299e-05
HG01797,02:01,02:02,0.883589575530601,0.000138880290196353
HG01798,02:01,02:02,0.915349321083291,0.00010126849759683
HG01799,05:01,05:01,0.9872015156364,0.00258204656840901
HG01800,02:01,09:01,0.788367143127331,6.67301671130896e-05
HG01801,05:01,05:01,0.976580465415631,0.0012593786836678
HG01802,04:01,05:01,0.991779530503016,7.00486598649629e-05
HG01804,05:01,05:01,0.98728042220561,0.000785868893923788
HG01805,02:02,13:01,0.84898558065695,1.17235394897035e-05
HG01806,05:01,05:01,0.993972687542177,0.00317230230176699
HG01807,05:01,05:01,0.988687952658733,0.00331150196792801
HG01808,02:01,05:01,0.973901090618697,0.000133930462986728
HG01809,05:01,21:01,0.691703880308628,5.96178920680798e-05
HG01810,04:01,05:01,0.978575269149873,0.00200160824666113
HG01811,02:02,13:01,0.932035437641592,1.56944968980174e-05
HG01812,02:02,05:01,0.969411157103575,0.000530588100345657
HG01813,02:02,21:01,0.821446657234684,3.67764905904477e-05
HG01815,02:01,05:01,0.825049615034916,0.000321480348587384
HG01816,02:01,02:02,0.920490984012171,1.54219081281406e-05
HG01817,05:01,13:01,0.987986878045837,0.000192818270815885
HG01840,03:01,04:02,0.921579099524526,2.35536663872921e-05
HG01841,05:01,21:01,0.581302147221872,0.000138472613501792
HG01842,02:01,05:01,0.993034572113387,3.35651363515708e-05
HG01843,05:01,05:01,0.982913128012427,0.00219132738418018
HG01844,04:01,13:01,0.976850731590264,4.90099192712916e-06
HG01845,05:01,05:01,0.985867449391479,0.000853022322867044
HG01846,04:02,10:01,0.292348888987417,3.59090524026308e-07
HG01847,09:01,13:01,0.817068053071123,5.41501456925336e-05
HG01848,05:01,05:01,0.976582907731625,0.00222061032116978
HG01849,05:01,10:01,0.942007014462872,0.000300648157543385
HG01850,04:02,13:01,0.912276774257884,4.613074237875e-05
HG01851,05:01,21:01,0.931773293181189,0.000371484382341484
HG01852,02:02,05:01,0.98862174625717,0.00039760825050336
HG01853,04:01,05:01,0.994211300897142,0.000652817864591033
HG01855,04:01,05:01,0.985574471039431,0.000124533884426954
HG01857,05:01,296:01,0.713417023331253,5.43515919696939e-08
HG01858,05:01,14:01,0.987163340966759,0.000266942772015387
HG01859,02:01,03:01,0.635492065767673,6.98193461128336e-05
HG01860,05:01,13:01,0.96287092946033,7.69593718333706e-05
HG01861,03:01,13:01,0.515249546433,3.99404831310021e-06
HG01862,04:01,13:01,0.838148545152758,6.27642215051725e-05
HG01863,05:01,05:01,0.984837168538294,0.00132368035746889
HG01864,05:01,05:01,0.983631275605312,0.00209748430768849
HG01865,03:01,03:01,0.805147566543367,5.71352448621376e-06
HG01866,02:01,21:01,0.854222663705426,0.000114426213964408
HG01867,03:01,05:01,0.502772107830433,0.000345139409716063
HG01868,05:01,13:01,0.97476633818726,5.54425243837621e-07
HG01869,04:01,05:01,0.560082406588631,4.51758648390637e-05
HG01870,05:01,13:01,0.969827832185134,0.000105509176566886
HG01871,02:02,05:01,0.612298219422851,2.34138953085147e-05
HG01872,05:01,13:01,0.940679311135503,0.000102826856859849
HG01873,02:01,05:01,0.967175675176638,0.000596052652896323
HG01874,03:01,04:02,0.512419729360014,5.52265756319563e-09
HG01878,13:01,414:01,0.552177248415536,1.29193637744228e-07
HG02016,04:01,05:01,0.972798238333589,0.00149849619032325
HG02017,05:01,05:01,0.454196050097849,3.49093222728052e-06
HG02019,02:01,03:01,0.86199459974423,4.30167542833517e-05
HG02020,04:02,05:01,0.982551470811372,0.000286078809246353
HG02023,02:01,05:01,0.94062358562381,0.000609596288503279
HG02025,03:01,13:01,0.476398957443896,3.92711820379234e-06
HG02026,02:01,02:02,0.974315354127045,0.000530011312561949
HG02028,05:01,05:01,0.990034224466914,0.00278633771780368
HG02029,01:01,21:01,0.449198021769249,8.49604213574514e-07
HG02031,05:01,05:01,0.983607485667279,0.00355249143224839
HG02032,02:02,21:01,0.539730398837394,3.2389013824896e-06
HG02035,03:01,05:01,0.711388203608047,0.000377945716509207
HG02040,03:01,05:01,0.675226681812335,8.2256592338778e-05
HG02047,05:01,13:01,0.979434087586758,0.000647431738151677
HG02048,03:01,03:01,0.537315875921503,1.16810682874109e-05
HG02049,05:01,05:01,0.979658791290439,0.000185891366846795
HG02050,05:01,13:01,0.981022719578402,0.00014310360331163
HG02057,05:01,05:01,0.983629037357259,0.00230337300937532
HG02058,13:01,296:01,0.743958672297196,5.92852966468001e-07
HG02060,13:01,21:01,0.513427952061113,4.16892662262771e-05
HG02061,05:01,05:01,0.991742306729901,2.30576037030861e-05
HG02064,13:01,26:01,0.848792069667433,6.25374554573192e-07
HG02067,05:01,05:01,0.981632242633181,0.00246531707368538
HG02069,02:01,03:01,0.555616224545398,5.12338745441056e-06
HG02070,02:02,05:01,0.967240156559996,0.000690094676030991
HG02072,03:01,13:01,0.892734155254934,1.92202605625343e-05
HG02073,04:01,19:01,0.992611246023493,2.23882094244401e-06
HG02075,03:01,05:01,0.603837696769393,5.23283485094825e-06
HG02076,05:01,21:01,0.79034533713963,0.000201533356976515
HG02078,02:01,13:01,0.97126168502368,0.000119703590567243
HG02079,02:01,05:01,0.965792737074302,0.00107140444111809
HG02081,13:01,26:01,0.580308681635691,3.15530616527592e-05
HG02082,05:01,05:01,0.985428557805115,0.000604460477152466
HG02084,02:02,05:01,0.982991226691584,0.000448011059588988
HG02085,03:01,04:01,0.813104098574385,1.10227995211166e-05
HG02086,02:02,21:01,0.362401691175911,3.59257386630947e-07
HG02087,05:01,13:01,0.947796190549647,0.00015277850306679
HG02088,05:01,13:01,0.547201404252203,8.32487369897745e-06
HG02113,02:02,04:01,0.739607833103568,3.00350713154831e-06
HG02116,05:01,13:01,0.654416214378225,8.69150122123538e-06
HG02121,02:01,05:01,0.982270405862796,0.00175542782964172
HG02122,02:02,05:01,0.886423910921492,1.48876816342008e-05
HG02127,03:01,05:01,0.942736887157267,1.30503044750113e-05
HG02128,05:01,13:01,0.983618179901596,8.52709592982018e-05
HG02130,05:01,21:01,0.765894609471375,0.000205094295357012
HG02131,13:01,21:01,0.715918425026404,8.96599871935616e-06
HG02133,02:01,05:01,0.980205564313224,0.00310141724655941
HG02134,05:01,13:01,0.907304022612842,8.00219623377699e-06
HG02136,02:02,05:01,0.840090864318336,4.41110295507191e-06
HG02137,03:01,05:01,0.886189459894427,0.000635818299561824
HG02138,05:01,05:01,0.990742367927889,0.000385943229047028
HG02139,02:01,14:01,0.98055638744855,0.000131184576376441
HG02140,04:01,13:01,0.969619500892386,2.08775524709479e-06
HG02141,02:02,04:01,0.565311459586002,3.45519817958127e-06
HG02142,02:01,05:01,0.983441912377176,0.000167158346843507
HG02151,05:01,05:01,0.983117802880336,0.00213106638001628
HG02152,02:02,19:01,0.969772508638112,7.83912088171744e-06
HG02153,02:02,05:01,0.840360007725099,3.85392325541298e-06
HG02154,02:01,05:01,0.949155458539133,0.000255220328353884
HG02155,05:01,13:01,0.931516166197628,0.000167056678254855
HG02156,02:02,05:01,0.947079318747108,0.000695272315329708
HG02164,05:01,21:01,0.646261551794069,0.00018351998955924
HG02165,02:02,05:01,0.536414648831639,2.21504277031547e-05
HG02166,02:01,05:01,0.952353852563659,0.000202454398521351
HG02178,05:01,13:01,0.959440071396426,0.000142802670599429
HG02179,05:01,05:01,0.993747566902623,0.00351102794484734
HG02180,02:02,04:01,0.945773259950118,0.000304049335911647
HG02181,02:02,02:02,0.921577735667839,4.17323411027716e-05
HG02182,02:01,05:01,0.927406683775345,0.000942631401746963
HG02184,05:01,13:01,0.964851731894547,0.000208103201286212
HG02185,13:01,21:01,0.471913941225636,7.52767158916176e-06
HG02186,05:01,13:01,0.989146571514398,0.000122912475399982
HG02187,05:01,21:01,0.94557138109931,0.000302054615051733
HG02188,05:01,05:01,0.992534619371956,0.00085825159119269
HG02190,05:01,05:01,0.987745417137786,0.00145324882553034
HG02250,05:01,05:01,0.992758372246936,5.51063114273811e-05
HG02351,02:01,13:01,0.970890953743578,9.45097015957029e-05
HG02353,02:01,05:01,0.81386502127177,0.000289247044078163
HG02355,02:01,03:01,0.594880671363461,5.16656159256567e-07
HG02356,02:02,03:01,0.775723898291105,1.80616947602632e-05
HG02360,05:01,13:01,0.964608883287821,9.46889627476289e-05
HG02364,02:02,13:01,0.792146628314209,5.71371473847078e-06
HG02367,03:01,04:01,0.916318949421427,8.53809662300449e-07
HG02371,05:01,05:01,0.994204132620934,0.00137475571422266
HG02373,02:02,05:01,0.978391049109503,0.000856808570816284
HG02374,02:02,31:01,0.6993355483305,1.1822855279491e-06
HG02375,05:01,05:01,0.987412416040088,0.000858841543192686
HG02379,02:02,05:01,0.9762403364916,0.000836842605654172
HG02380,05:01,05:01,0.979091392734912,0.00147322581032591
HG02382,04:01,05:01,0.990026545054334,0.00140906157006223
HG02383,02:02,05:01,0.9775955175732,0.000124851030200008
HG02384,03:01,05:01,0.655907836812691,0.000461354383442432
HG02385,03:01,03:01,0.526803304403079,2.5318005260663e-06
HG02386,13:01,21:01,0.867746438511217,1.55906157289432e-05
HG02389,02:02,13:01,0.922577706616958,2.97920385273913e-05
HG02390,05:01,14:01,0.96655548069316,6.40576676234946e-05
HG02391,02:01,02:02,0.90844024950545,0.000397877417220374
HG02392,05:01,13:01,0.976243445153721,0.000278616779667448
HG02394,04:01,05:01,0.991712840761282,0.000116642114586504
HG02395,02:02,13:01,0.970116350023878,3.7261835826307e-05
HG02396,05:01,26:01,0.82046233238234,1.45235250041412e-05
HG02397,02:02,13:01,0.941403149469708,3.06011801353604e-05
HG02398,02:01,05:01,0.905883634573973,0.000834472304976381
HG02399,05:01,14:01,0.976859410034482,9.71449932272657e-05
HG02401,13:01,14:01,0.586352205829355,3.25813122887782e-06
HG02402,02:02,02:02,0.920202848343029,4.36250856703644e-05
HG02406,05:01,14:01,0.951634186043457,6.88363460703215e-05
HG02407,02:02,13:01,0.960970818479603,3.3381383597891e-05
HG02408,05:01,05:01,0.980734485511778,0.00210136816480116
HG02409,02:01,05:01,0.912135998693598,0.00288259661223938
HG02410,02:01,05:01,0.959836877487906,0.00263581459997529
HG02512,02:02,04:01,0.891520446944235,0.000132752221994523
HG02513,02:02,19:01,0.963253961177216,2.83256900804751e-05
HG02521,03:01,04:01,0.869174772803076,1.78797388222201e-05
HG02522,05:01,13:01,0.967679060974748,6.33570880571516e-05
NA18525,05:01,19:01,0.99076572655252,0.000185723548034984
NA18526,04:01,19:01,0.968104725442724,1.25040485639516e-05
NA18528,04:01,05:01,0.981876811719934,0.000133765040584706
NA18530,13:01,17:01,0.991545774254122,2.11258200559023e-05
NA18531,02:01,04:02,0.979534706518869,0.000943321908008788
NA18532,03:01,17:01,0.904008426312929,9.83852123847526e-05
NA18533,05:01,05:01,0.970853706042588,0.00156342681120209
NA18534,05:01,13:01,0.947539521757896,1.34045405946667e-05
NA18535,04:01,05:01,0.968013676136507,0.00241902480027948
NA18536,02:01,05:01,0.980856998004133,0.00287267746389076
NA18537,02:01,02:02,0.848783927938015,1.63952279295541e-06
NA18538,02:01,05:01,0.986656643795603,0.000961455035930617
NA18539,02:01,05:01,0.990381575625774,0.000459366161533899
NA18541,05:01,13:01,0.959506610513039,3.84033802081905e-05
NA18542,04:02,05:01,0.980623916590083,0.000744991474001154
NA18543,02:01,02:02,0.942544707897353,3.42444461912504e-05
NA18544,04:01,04:01,0.994934071582741,1.55357160916386e-05
NA18545,02:01,13:01,0.862729544330012,2.6052600066343e-05
NA18546,04:01,19:01,0.999501974085595,5.0146469856465e-05
NA18547,05:01,14:01,0.909624119776054,7.42719769132236e-05
NA18548,02:01,05:01,0.965437036669072,0.00237840514306521
NA18549,02:01,14:01,0.90838838888399,2.19276020982558e-07
