sample.id,DRB4.1,DRB4.2,DRB4.prob,matching
HG00403,00:00,00:00,0.990510033008993,3.52045522995662e-06
HG00404,00:00,00:00,0.996877350259836,1.8213691419896e-05
HG00406,00:00,00:00,0.998737205974393,9.44863429099189e-06
HG00407,00:00,00:00,0.981317126013587,1.06352771406367e-05
HG00409,00:00,01:03,0.979883645048568,3.03072769612714e-05
HG00410,00:00,01:03,0.987833385357374,1.46441120245287e-05
HG00419,00:00,01:03,0.998725457124284,9.65634715602584e-06
HG00421,01:03,01:03,0.967756838585138,2.89652102275888e-05
HG00422,00:00,01:03,0.966169076727161,8.98666284750479e-06
HG00428,00:00,01:03,0.949753507082618,0.000123682463222344
HG00436,00:00,01:03,0.959667442131279,1.12648794463965e-05
HG00437,00:00,01:03,0.976845979047045,7.17698930284393e-06
HG00442,00:00,01:03,0.895264429361402,3.37601582739155e-05
HG00443,00:00,00:00,0.998154381544584,4.76953939866738e-05
HG00445,00:00,00:00,0.999729190271601,8.37014398476669e-06
HG00446,00:00,00:00,0.994363820157862,8.09011704261219e-05
HG00448,00:00,00:00,0.914289016808966,1.89267650306874e-06
HG00449,00:00,00:00,0.969719405988729,3.7646086603077e-05
HG00451,00:00,00:00,0.999021685079309,4.12999038252568e-05
HG00452,00:00,00:00,0.998605282120486,0.000193667828556075
HG00457,00:00,01:03,0.941725022199217,9.91381826250393e-07
HG00458,01:03,01:03,0.991904772172357,4.65322679835821e-05
HG00463,00:00,01:03,0.999999865646499,3.39997362289268e-05
HG00464,00:00,01:03,0.969644151603348,1.73469223799565e-05
HG00472,00:00,01:03,0.987880237067627,5.3876605295354e-06
HG00473,00:00,01:03,0.955602672868803,4.19082651018834e-06
HG00475,00:00,00:00,0.999307042538446,1.41604425189721e-05
HG00476,00:00,01:03,0.94184757432304,1.26406179476328e-05
HG00478,00:00,01:03,0.803128740116152,1.70994833846993e-06
HG00479,00:00,01:03,0.970591616140161,1.51035786692947e-05
HG00500,00:00,01:03,0.97079687737917,1.11530271657221e-07
HG00513,00:00,00:00,0.994580412288433,1.73104306991747e-05
HG00524,00:00,01:03,0.989924344506977,3.55018468146401e-05
HG00525,00:00,01:03,0.985327288946841,3.86795450293782e-06
HG00530,00:00,00:00,0.999999999999921,0.000110843517354872
HG00531,00:00,00:00,0.973785335100026,9.15128372502051e-06
HG00533,00:00,00:00,0.999181456172548,1.73973866873498e-05
HG00534,01:03,01:03,0.996905986478943,1.33158531684077e-05
HG00536,00:00,01:03,0.9745093329388,1.7029913252205e-05
HG00537,01:03,01:03,0.959058443819756,9.85961581520367e-06
HG00542,00:00,01:03,0.987516589473974,5.86958072910524e-06
HG00543,00:00,01:03,0.991271253911254,1.62078719939408e-05
HG00556,00:00,01:03,0.947908496932166,2.25432583564416e-11
HG00557,00:00,00:00,0.999999964891938,1.84151972852805e-05
HG00559,00:00,01:03,0.958865055525231,1.46515338350823e-05
HG00560,00:00,00:00,0.999999948322945,2.85589247451741e-05
HG00565,00:00,00:00,0.999999806242624,1.08487418818626e-05
HG00566,00:00,01:03,0.990145155371155,3.27556752398958e-05
HG00580,00:00,01:03,0.988642634143054,4.40849514115321e-05
HG00581,00:00,00:00,0.979310057629084,8.9040517041578e-06
HG00583,00:00,01:03,0.968036876222717,9.87365802812606e-07
HG00584,00:00,00:00,0.999720795357974,8.68498885348233e-05
HG00589,00:00,00:00,0.995894064797817,8.90503134973529e-05
HG00590,00:00,00:00,0.995121001859619,4.18745774739363e-05
